schemaVersion,recordType,source_name,source_url,title,authors,paper_url,github_url,github_stars,published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27225v1,STEP: State-Aware Task Estimation and Planning with Multi-Modal LLMs for Human-Robot Collaboration,"[""Maitrey Gramopadhye"", ""Prakash Baskaran"", ""Xiao Liu"", ""Songpo Li"", ""Soshi Iba""]",https://arxiv.org/abs/2608.27225v1,,,2026-08-27T15:08:36Z,2026-08-28T12:32:41.186115+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27206v1,PACE: A Unified Condense-and-Extract Paradigm for Fast VLM Inference,"[""Junjie Liu"", ""Shengyuan Ye"", ""Xu Chen""]",https://arxiv.org/abs/2608.27206v1,https://github.com/jjL357/PACE.,,2026-08-27T14:52:09Z,2026-08-28T12:32:41.186169+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27184v1,LLMs in Digital EDA: A perspective on shifting roles from Generation to Orchestration,"[""Matthew Youngman"", ""Cristian Sestito"", ""Themis Prodromakis""]",https://arxiv.org/abs/2608.27184v1,,,2026-08-27T14:29:35Z,2026-08-28T12:32:41.186219+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27176v1,When Text Misleads: Inconsistent-Aware Reasoning for Audio-Grounded Dialogue,"[""Yen-Ju Lu"", ""Yuzhe Wang"", ""Yaohan Guan"", ""Xiluo He"", ""Jiarui Hai"", ""Mingrui Liang"", ""Kaavya Chaparala"", ""Thomas Thebaud"", ""Laureano Moro-Velazquez"", ""Najim Dehak"", ""Jesus Villalba""]",https://arxiv.org/abs/2608.27176v1,,,2026-08-27T14:26:46Z,2026-08-28T12:32:41.186286+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27167v1,"Calibrated Enough to Know, Not Calibrated to Act: Fabricated Evidence Makes LLM Agents Commit to the Unknowable","[""Pranav Aggarwal""]",https://arxiv.org/abs/2608.27167v1,,,2026-08-27T14:20:08Z,2026-08-28T12:32:41.186350+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27150v1,ANTShapes Benchmarking Datasets for Event-Based Neuromorphic Object Classification,"[""M. Middleton"", ""H. Kayan"", ""B. Sen Bhattacharya"", ""T. Ali"", ""E. Baikas"", ""M. Vousden"", ""C. Perera"", ""O. Rhodes"", ""E. Gheorghiu"", ""M. A. Trefzer""]",https://arxiv.org/abs/2608.27150v1,,,2026-08-27T14:02:32Z,2026-08-28T12:32:41.186416+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27149v1,BPMN4CAI: A BPMN Extension for Modeling Dynamic Conversational AI,"[""Björn-Lennart Eger"", ""Daniel Rose"", ""Barbara Dinter""]",https://arxiv.org/abs/2608.27149v1,,,2026-08-27T14:01:25Z,2026-08-28T12:32:41.186454+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27147v1,Thomson: Continual Learning of Frontier Models for SovereignAI,"[""Shengzhuang Chen"", ""Jerrod Parker"", ""Yejin Bang"", ""Andrew M. Bean"", ""Nabeel Seedat"", ""Stefan Winzeck"", ""Daniil Glazko"", ""Jannik Zgraggen"", ""Fangyi Yu"", ""Scott Arnott"", ""Dietrich Trautmann"", ""Luca Ciuffreda"", ""Guglielmo Bonifazi"", ""Davide Romano"", ""Bradley Bell"", ""Kirsty Fielding"", ""Daniele Giofrè"", ""Tom Zielund"", ""Ipshita Chatterjee"", ""Sneha Murthy Ghantasala"", ""Manpreet Nanreh"", ""John Scoville"", ""Maciej Sakowicz"", ""Wassim Seifeddine"", ""Lukas Thede"", ""Jonathan Richard Schwarz""]",https://arxiv.org/abs/2608.27147v1,,,2026-08-27T13:59:36Z,2026-08-28T12:32:41.186549+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27146v1,When Tool Outputs Become Commands: Separating Action Induction from Runtime Authorization in Tool-Augmented LLM Agents,"[""Xiaokun Guo"", ""Zhen Xu"", ""Dongdong Huo"", ""Yanqiu Zhang"", ""Wei Wang"", ""Qinfu Yang"", ""Dongjin Yu"", ""Yu Wang""]",https://arxiv.org/abs/2608.27146v1,,,2026-08-27T13:59:04Z,2026-08-28T12:32:41.186604+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27144v1,Feature Transformation Enhanced Jacobi Polynomial Graph Filtering for Graph Anomaly Detection,"[""Xiang Wang"", ""Zhijun Cheng"", ""Zhenyu Meng""]",https://arxiv.org/abs/2608.27144v1,,,2026-08-27T13:57:09Z,2026-08-28T12:32:41.186654+00:00
