schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zapier,Zapier,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zepto,Zepto,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/focal-systems,Focal Systems,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mio,Mio,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/daily,Daily,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/petcube,Petcube,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/outschool,Outschool,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mason,Mason,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/magicbus,Magicbus,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tovala,Tovala,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/isono-health,Isono Health,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/getaccept,Getaccept,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/chatfuel,Chatfuel,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/yardbook,Yardbook,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gocardless,Gocardless,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/stealth-worker,Stealth Worker,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/deepgram,Deepgram,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/soundboks,Soundboks,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lattice,Lattice,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mux,Mux,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/human-interest,Human Interest,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/flirtey,Flirtey,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/eight-sleep,Eight Sleep,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/instawork,Instawork,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/cofactor-genomics,Cofactor Genomics,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bitmovin,Bitmovin,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tetrascience,Tetrascience,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/the-ticket-fairy,The Ticket Fairy,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/font-awesome,Font Awesome,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/80-000-hours,80 000 Hours,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/xendit,Xendit,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shred-video,Shred Video,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shape-shapescale,Shape Shapescale,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/redcarpetup,Redcarpetup,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/plate-iq,Plate Iq,,2026-08-28T06:27:01.887983+00:00
