organization,official_website,logo_url,verification_status,source_type
StanfordAIMI,https://aimi.stanford.edu/,https://www.google.com/s2/favicons?domain=aimi.stanford.edu&sz=128,verified_official,known_official_mapping
comodoro,https://huggingface.co/comodoro/wav2vec2-xls-r-300m-cs-250,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
ResembleAI,https://huggingface.co/ResembleAI/chatterbox,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
TinyLlama,https://huggingface.co/TinyLlama/TinyLlama-1.1B-Chat-v1.0,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
rhasspy,https://huggingface.co/rhasspy/faster-whisper-tiny-int8,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
depth-anything,https://huggingface.co/depth-anything/Depth-Anything-V2-Small-hf,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
stabilityai,https://stability.ai/,https://www.google.com/s2/favicons?domain=stability.ai&sz=128,verified_official,known_official_mapping
audio-cpp,https://huggingface.co/audio-cpp/audio.cpp-gguf,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
kingabzpro,https://huggingface.co/kingabzpro/wav2vec2-large-xls-r-300m-Urdu,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
vikhyatk,https://huggingface.co/vikhyatk/moondream2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
neuralmind,https://huggingface.co/neuralmind/bert-large-portuguese-cased,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
QuantTrio,https://huggingface.co/QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Kijai,https://huggingface.co/Kijai/WanVideo_comfy,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
stable-diffusion-v1-5,https://huggingface.co/stable-diffusion-v1-5/stable-diffusion-v1-5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
airesearch,https://huggingface.co/airesearch/wav2vec2-large-xlsr-53-th,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
IDEA-Research,https://huggingface.co/IDEA-Research/grounding-dino-base,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Harveenchadha,https://huggingface.co/Harveenchadha/vakyansh-wav2vec2-tamil-tam-250,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
TostAI,https://huggingface.co/TostAI/nsfw-image-detection-large,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
prajjwal1,https://huggingface.co/prajjwal1/bert-tiny,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
mesolitica,https://huggingface.co/mesolitica/wav2vec2-xls-r-300m-mixed,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
rizvandwiki,https://huggingface.co/rizvandwiki/gender-classification,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
peft-internal-testing,https://huggingface.co/peft-internal-testing/tiny-clip-text-2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
theainerd,https://huggingface.co/theainerd/Wav2Vec2-large-xlsr-hindi,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
apple,https://www.apple.com/,https://www.google.com/s2/favicons?domain=apple.com&sz=128,verified_official,known_official_mapping
cambridgeltl,https://huggingface.co/cambridgeltl/SapBERT-from-PubMedBERT-fulltext,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
dropbox-dash,https://huggingface.co/dropbox-dash/faster-whisper-large-v3-turbo,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
nguyenvulebinh,https://huggingface.co/nguyenvulebinh/wav2vec2-base-vi-vlsp2020,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
imvladikon,https://huggingface.co/imvladikon/wav2vec2-xls-r-300m-hebrew,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
